,pricing,address,space
41,"$2,199/mo","7813 16th Ave FLOOR 2, Brooklyn, NY 11214",2 bds1 ba820 sqft - Apartment for rent
42,"$3,990+ 3 bds","1194 Greene Ave, Brooklyn, NY",nan
43,"$2,395+ Studio","165 Attorney St, New York, NY","$4,895+ 3 bds "
44,"$1,850/mo","133-27 39th Ave #A1D, Flushing, NY 11354",1 bd1 ba-- sqft - Apartment for rent
45,"$4,550+ Studio","50 Murray St, New York, NY","$7,280+ 1 bd$7,500+ 3 bds$10,500+ 4 bds "
46,"$3,750+ Studio","160 Riverside Blvd, New York, NY","$4,100+ 1 bd$7,440+ 2 bds "
47,"$8,500/mo","442 W 44th St #2, New York, NY 10036","2 bds2 ba2,000 sqft - Apartment for rent"
48,"$3,380/mo","1092 Dean St #A, Brooklyn, NY 11216",1 bd1 ba-- sqft - Apartment for rent
49,"$3,495/mo","248 W 64th St APT 2B, New York, NY 10023",2 bds1 ba-- sqft - Apartment for rent
50,"$15,000/mo","251 W 19th St APT 7A, New York, NY 10011","2 bds2 ba1,653 sqft - Apartment for rent"
51,"$2,595/mo","565 W 188th St APT 50, New York, NY 10040",2 bds1 ba-- sqft - Apartment for rent
52,"$3,995/mo","342 E 85th St APT 2, New York, NY 10028",2 bds1 ba-- sqft - Apartment for rent
53,"$2,800/mo","75 W 131st St APT 3, New York, NY 10037",1 bd1 ba-- sqft - Apartment for rent
54,"$7,000/mo","221 W 82nd St APT 5C, New York, NY 10024",2 bds1.5 ba-- sqft - Apartment for rent
55,"$2,000+ 1 bd","531 Tinton Ave, Bronx, NY",nan
56,"$4,000/mo","802 Beverly Rd #2, Brooklyn, NY 11218","4 bds1 ba1,100 sqft - Apartment for rent"
57,"$7,500+ 1 bd","40 Central Park S, New York, NY","$6,500+ 2 bds$21,000+ 3 bds "
58,"$3,434+ 1 bd","42-20 27th St, Long Island City, NY",nan
59,"$5,385/mo","12-15 Jackson Ave #1, Long Island City, NY 11101","2 bds2 ba1,175 sqft - Apartment for rent"
60,"$2,985+ 1 bd","10 Montieth St, Brooklyn, NY","$4,450+ 2 bds "
61,"$3,600+ 1 bd","236 E 47th St, New York, NY",nan
62,"$5,580+ 1 bd","30 Morningside Dr, New York, NY","$7,800+ 2 bds "
63,"$3,664+ Studio","Sven LIC | 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds "
64,"$3,470+ Studio","One Blue Slip | 1 Blue Slip, Brooklyn, NY","$3,940+ 1 bd$6,075+ 2 bds "
65,"$3,210+ Studio","Avalon Riverview | 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds "
66,"$3,673+ Studio","Henry Hall | 515 W 38th St, New York, NY","$5,121+ 1 bd$7,326+ 2 bds "
67,"$4,207+ Studio","The Capitol | 776 6th Ave, New York, NY","$4,975+ 1 bd$7,871+ 2 bds "
68,"$6,132+ 1 bd","Aalto57 | 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds "
69,"$4,165+ Studio","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds "
70,"$4,671+ Studio","The Dylan | 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds "
71,"$2,450+ Studio","The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds "
72,"$3,664+ Studio","Sven LIC | 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds "
73,"$3,470+ Studio","One Blue Slip | 1 Blue Slip, Brooklyn, NY","$3,940+ 1 bd$6,075+ 2 bds "
74,"$3,210+ Studio","Avalon Riverview | 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds "
75,"$3,673+ Studio","Henry Hall | 515 W 38th St, New York, NY","$5,121+ 1 bd$7,326+ 2 bds "
76,"$4,207+ Studio","The Capitol | 776 6th Ave, New York, NY","$4,975+ 1 bd$7,871+ 2 bds "
77,"$6,132+ 1 bd","Aalto57 | 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds "
78,"$4,165+ Studio","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds "
79,"$4,671+ Studio","The Dylan | 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds "
80,"$2,450+ Studio","The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds "
81,"$3,664+ Studio","Sven LIC | 29-59 Northern Blvd, Long Island City, NY","$4,000+ 1 bd$5,630+ 2 bds$7,108+ 3 bds "
82,"$3,470+ Studio","One Blue Slip | 1 Blue Slip, Brooklyn, NY","$3,940+ 1 bd$6,075+ 2 bds "
83,"$3,210+ Studio","Avalon Riverview | 475 48th Ave, Long Island City, NY","$4,020+ 1 bd$5,685+ 2 bds$7,102+ 3 bds "
84,"$3,673+ Studio","Henry Hall | 515 W 38th St, New York, NY","$5,121+ 1 bd$7,326+ 2 bds "
85,"$4,207+ Studio","The Capitol | 776 6th Ave, New York, NY","$4,975+ 1 bd$7,871+ 2 bds "
86,"$6,132+ 1 bd","Aalto57 | 1065 2nd Ave, New York, NY","$8,575+ 2 bds$9,971+ 3 bds "
87,"$4,165+ Studio","60 Riverside Blvd, New York, NY","$5,480+ 1 bd$8,515+ 2 bds$13,000+ 3 bds "
88,"$4,671+ Studio","The Dylan | 309 5th Ave, New York, NY","$5,513+ 1 bd$8,454+ 2 bds "
89,"$2,450+ Studio","The Tides At Arverne By The Sea | 190 Beach 69th St, Arverne, NY","$4,200+ 2 bds "
